GLOBALEVENTID,SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1Code,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2Code,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Type,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
1290366412,20250221,20260221200000,202502,2025,GUNMEN,UAF,,UAF,,,,,0,181,181,18,4,-9.0,-8.92857142857142,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.premiumtimesng.com/regional/south-south-regional/858679-edo-demolishes-building-linked-to-alleged-cult-members.html
1281840428,20250102,20260102014500,202501,2025,UNITED KINGDOM,GBR,GBR,,NIGERIA,NGA,NGA,,0,040,040,04,1,1.0,-5.93406593406593,2,1,2,Benin,BN,1,BN,9.5,2.25,https://punchng.com/obasekis-ally-house-burnt-in-edo/
1283198067,20250110,20260110110000,202501,2025,AL QAEDA,IMGMOSALQ,,IMG,BENIN,BEN,BEN,,1,190,190,19,4,-10.0,-3.62204724409449,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.abc.com.py/internacionales/2026/01/10/benin-celebrara-elecciones-legislativas-y-municipales-entre-tension-politica-y-seguridad/
1291145694,20250226,20260226110000,202502,2025,GOVERNOR,GOV,,GOV,,,,,1,020,020,02,1,3.0,-3.62537764350453,3,1,3,Benin,BN,1,BN,9.5,2.25,https://www.nigerianeye.com/2026/02/edo-attack-peter-obi-should-have.html
1285645948,20250124,20260124103000,202501,2025,HOSPITAL,HLH,,HLH,SENATE,LEG,,LEG,1,042,042,04,1,1.9,-0.89928057553957,10,1,10,Benin,BN,1,BN,9.5,2.25,https://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/
1285645959,20250124,20260124103000,202501,2025,LAWMAKER,LEG,,LEG,HOSPITAL,HLH,,HLH,1,010,010,01,1,0.0,-0.89928057553957,10,1,10,Benin,BN,1,BN,9.5,2.25,https://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/
1285645960,20250124,20260124103000,202501,2025,SENATE,LEG,,LEG,HOSPITAL,HLH,,HLH,1,043,043,04,1,2.8,-0.89928057553957,10,1,10,Benin,BN,1,BN,9.5,2.25,https://punchng.com/senator-decries-poor-state-of-fistula-centre-in-edo/
1289290869,20250215,20260215143000,202502,2025,AFRICA,AFRCVL,AFR,CVL,GHANA,GHA,GHA,,0,0841,084,08,2,7.0,1.21802679658952,4,1,4,Benin,BN,1,BN,9.5,2.25,https://www.newsghana.com.gh/african-leaders-call-for-political-action-to-accelerate-visa-free-continental-integration/
1292317038,20250304,20260304111500,202503,2025,PRISONER,OPP,,OPP,,,,,1,022,022,02,1,3.2,-2.62172284644194,10,1,10,Benin,BN,1,BN,9.5,2.25,https://lanouvelletribune.info/2026/03/benin-des-fideles-musulmans-implorent-la-clemence-de-talon-pour-reckya-madougou-5-ans-apres-son-arrestation/
1298901629,20250413,20260413064500,202504,2025,INTERNATIONAL MONETARY FUND,IGOBUSIMF,,IGO,,,,,0,051,051,05,1,3.4,-6.82196339434276,5,1,5,Benin,BN,1,BN,9.5,2.25,https://allafrica.com/stories/202604130011.html
1292975459,20250307,20260307140000,202503,2025,,,,,NIGERIAN,NGA,NGA,,1,190,190,19,4,-10.0,-5.81761006289308,10,1,10,"Borgou, Borgou, Benin",BN,5,BN10,9.75,2.75,http://www.nigeriasun.com/news/278907556/benin-and-nigeria-join-forces-to-fight-growing-cross-border-terrorism
1291356596,20250227,20260227120000,202502,2025,BENIN,BEN,BEN,,NIGERIAN,NGA,NGA,,0,190,190,19,4,-10.0,-7.40740740740741,2,1,2,"Niamey, Niamey, Niger",NG,4,NG08,13.5167,2.11667,https://allafrica.com/stories/202602270106.html
1285138920,20251222,20260121190000,202512,2025,KAMBA,kam,,,FIGHTER,UAF,,UAF,0,190,190,19,4,-10.0,-5.68627450980392,6,1,6,Benin,BN,1,BN,9.5,2.25,https://punchng.com/bello-turji-in-panic-mode-relocating-frequently-military/
1283921640,20250114,20260114201500,202501,2025,AMBASSADOR,GOVCVL,,GOV,AMBASSADOR,GOV,,GOV,1,050,050,05,1,3.5,-0.29585798816569,10,1,10,Benin,BN,1,BN,9.5,2.25,https://agenciabrasil.ebc.com.br/internacional/noticia/2026-01/benin-oferece-cidadania-diaspora-africana
1290920988,20250225,20260225080000,202502,2025,HOSPITAL,HLHEDU,,HLH,SCHOOL,EDU,,EDU,0,070,070,07,2,7.0,-4.70383275261324,6,1,6,Benin,BN,1,BN,9.5,2.25,https://dailytrust.com/okpebholo-blames-rift-among-adc-members-for-attack-on-obi/
1290920987,20250225,20260225080000,202502,2025,HOSPITAL,HLHEDU,,HLH,SCHOOL,EDU,,EDU,0,070,070,07,2,7.0,-4.70383275261324,2,1,2,Benin,BN,1,BN,9.5,2.25,https://dailytrust.com/okpebholo-blames-rift-among-adc-members-for-attack-on-obi/
1282892997,20250108,20260108180000,202501,2025,NIGERIAN,NGA,NGA,,BENIN,BEN,BEN,,1,043,043,04,1,2.8,0.5050505050505,1,1,1,"Cross River State, Cross River, Nigeria",NI,5,NI22,5.75,8.5,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282892998,20250108,20260108180000,202501,2025,NIGERIAN,NGA,NGA,,BENIN,BEN,BEN,,1,043,043,04,1,2.8,0.5050505050505,1,1,1,Benin,BN,1,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282904307,20250108,20260108191500,202501,2025,NIGERIA,NGA,NGA,,COTONOU,BENHLH,BEN,HLH,0,042,042,04,1,1.9,4.11899313501144,2,1,2,"Cross River State, Cross River, Nigeria",NI,5,NI22,5.75,8.5,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282904288,20250108,20260108191500,202501,2025,COTONOU,BENHLH,BEN,HLH,AMBASSADOR,GOV,,GOV,0,043,043,04,1,2.8,4.11899313501144,6,1,6,Benin,BN,1,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282904297,20250108,20260108191500,202501,2025,AMBASSADOR,GOV,,GOV,COTONOU,BENHLH,BEN,HLH,0,020,020,02,1,3.0,4.11899313501144,6,1,6,Benin,BN,1,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282904298,20250108,20260108191500,202501,2025,AMBASSADOR,GOV,,GOV,COTONOU,BENHLH,BEN,HLH,0,042,042,04,1,1.9,4.11899313501144,6,1,6,Benin,BN,1,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282892983,20250108,20260108180000,202501,2025,,,,,NIGERIAN,NGA,NGA,,1,173,173,17,4,-5.0,0.5050505050505,6,1,6,Benin,BN,1,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282904309,20250108,20260108191500,202501,2025,NIGERIA,NGAGOV,NGA,GOV,MINIST OF FOREIGN AFFAIRS,GOV,,GOV,0,020,020,02,1,3.0,4.11899313501144,2,1,2,Benin,BN,1,BN,9.5,2.25,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1282892988,20250108,20260108180000,202501,2025,BENIN,BEN,BEN,,NIGERIAN,NGA,NGA,,1,042,042,04,1,1.9,0.5050505050505,1,1,1,"Cross River State, Cross River, Nigeria",NI,5,NI22,5.75,8.5,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282892989,20250108,20260108180000,202501,2025,BENIN,BEN,BEN,,NIGERIAN,NGA,NGA,,1,042,042,04,1,1.9,0.5050505050505,1,1,1,Benin,BN,1,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282892990,20250108,20260108180000,202501,2025,BENIN,BEN,BEN,,NIGERIAN,NGA,NGA,,1,173,173,17,4,-5.0,0.5050505050505,2,1,2,Benin,BN,1,BN,9.5,2.25,https://thewhistler.ng/fg-secures-release-of-nigerian-pastor-serving-10-year-sentence-in-benin-republic/
1282904289,20250108,20260108191500,202501,2025,COTONOU,BENHLH,BEN,HLH,NIGERIA,NGA,NGA,,0,043,043,04,1,2.8,4.11899313501144,2,1,2,"Cross River State, Cross River, Nigeria",NI,5,NI22,5.75,8.5,https://www.thisdaylive.com/2026/01/08/nigeria-secures-pastor-egbajis-release-from-benin-republic/
1285212593,20251223,20260122034500,202512,2025,KAMBA,kam,,,FIGHTER,UAF,,UAF,0,190,190,19,4,-10.0,-6.33408071748879,6,1,6,Benin,BN,1,BN,9.5,2.25,https://punchng.com/counter-terrorism-campaign-fg-moves-to-fast-track-trial-of-5000-insurgents/
1297200929,20250401,20260401164500,202504,2025,UNITED STATES,USA,USA,,,,,,1,010,010,01,1,0.0,-5.55555555555555,4,1,4,Benin,BN,1,BN,9.5,2.25,https://www.mediapool.bg/vissh-amerikanski-sluzhitel-tvardi-che-e-bil-teleportiran-v-zakusvalnya-news381918.html
1296348351,20250327,20260327083000,202503,2025,RADIO STATION,MED,,MED,,,,,0,190,190,19,4,-10.0,-0.94637223974763,1,1,1,"Banikoara, Alibori, Benin",BN,4,BN07,11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140
1296334338,20250327,20260327061500,202503,2025,BANDIT,CRM,,CRM,BRIGADIER GENERAL,MIL,,MIL,1,190,190,19,4,-10.0,-4.33070866141732,6,1,6,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2026/03/27/nigerian-newspapers-10-things-you-need-to-know-friday-morning-121/
1296334341,20250327,20260327061500,202503,2025,NIGERIA,NGA,NGA,,BRIGADIER GENERAL,MIL,,MIL,1,190,190,19,4,-10.0,-4.33070866141732,2,1,2,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2026/03/27/nigerian-newspapers-10-things-you-need-to-know-friday-morning-121/
1296348347,20250327,20260327083000,202503,2025,BENIN,BEN,BEN,,RADIO STATION,MED,,MED,0,190,190,19,4,-10.0,-0.94637223974763,3,1,3,"Banikoara, Alibori, Benin",BN,4,BN07,11.2984,2.43856,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140
1296348348,20250327,20260327083000,202503,2025,BENIN,BEN,BEN,,RADIO STATION,MED,,MED,0,190,190,19,4,-10.0,-0.94637223974763,1,1,1,"Fribourg, Fribourg, Switzerland",SZ,4,SZ06,46.7957,7.15475,https://www.swissinfo.ch/eng/war-peace/women-harvest-hope-as-extremist-threat-grows-in-benin/91162140
1281664740,20251231,20251231110000,202512,2025,BENIN,BEN,BEN,,,,,,1,043,043,04,1,2.8,-1.09589041095891,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/
1281675550,20251231,20251231130000,202512,2025,COMMANDANT,MIL,,MIL,,,,,1,010,010,01,1,0.0,-9.57746478873238,5,1,5,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/
1281675733,20251231,20251231130000,202512,2025,OPERATIVE,SPY,,SPY,,,,,1,1712,171,17,4,-9.2,-9.57746478873238,10,1,10,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/12/31/nscdc-arrests-suspected-oil-installation-vandal-in-edo/
1281680079,20251231,20251231134500,202512,2025,THE UN,IGOUNO,,IGO,,,,,0,012,012,01,1,-0.4,-7.81796966161027,1,1,1,Benin,BN,1,BN,9.5,2.25,https://www.aa.com.tr/en/africa/year-ender-africa-in-2025-2-military-coups-and-1-failed-attempt/3786062
1281667763,20251231,20251231113000,202512,2025,ACTOR,ELI,,ELI,,,,,0,020,020,02,1,3.0,-3.19705727798214,20,2,20,Benin,BN,1,BN,9.5,2.25,https://www.leral.net/560-MILLIARDS-MOBILISES-SUR-LE-MARCHE-Succes-technique-contrainte-structurelle_a393187.html
1281668456,20251231,20251231120000,202512,2025,POLICE,COP,,COP,,,,,0,090,090,09,2,-2.0,-5.65428109854608,4,1,4,Benin,BN,1,BN,9.5,2.25,https://peoplesdailyng.com/between-the-palace-and-the-police-where-does-justice-for-don-pedro-obaseki-lie/
1281664663,20251231,20251231110000,202512,2025,,,,,BENIN,BEN,BEN,,1,042,042,04,1,1.9,-1.09589041095891,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/
1281698938,20251231,20251231164500,202512,2025,BENIN,BEN,BEN,,BENIN,BENMIL,BEN,MIL,1,190,190,19,4,-10.0,-9.76800976800972,2,1,2,Benin,BN,1,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281698939,20251231,20251231164500,202512,2025,BENIN,BEN,BEN,,LIEUTENANT COLONEL,MIL,,MIL,1,190,190,19,4,-10.0,-9.76800976800972,8,1,8,Benin,BN,1,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281698940,20251231,20251231164500,202512,2025,BENIN,BENMIL,BEN,MIL,BENIN,BEN,BEN,,1,190,190,19,4,-10.0,-9.76800976800972,2,1,2,Benin,BN,1,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281699529,20251231,20251231164500,202512,2025,LIEUTENANT COLONEL,MIL,,MIL,BENIN,BEN,BEN,,1,190,190,19,4,-10.0,-9.76800976800972,8,1,8,Benin,BN,1,BN,9.5,2.25,https://www.firstpost.com/world/2025-year-ender-how-coups-conflicts-and-fragile-truces-disrupted-the-global-order-in-2025-ws-e-13937702.html
1281665043,20251231,20251231110000,202512,2025,CAPTAIN,MIL,,MIL,SENEGAL,SEN,SEN,,1,010,010,01,1,0.0,-1.09589041095891,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.rewmi.com/koulibaly-la-rdc-va-faire-des-ravages-jen-suis-convaincu/
